time:1  Численное значение               Точное значение         Погрешность
3                2.25                          2.25               7.638334409e-14
4                   4                             4               7.727152251e-14
5                6.25                          6.25               6.661338148e-14
6                   9                             9                             0
7     -3.94164837e-52                             0                3.94164837e-52
8                0.25                          0.25               5.256906022e-14
9                   1                             1               2.975397706e-14
10                2.25                          2.25               4.618527782e-14
11                   4                             4               5.684341886e-14
12                6.25                          6.25               3.375077995e-14
13                   9                             9                             0
14      9.24313041e-52                             0                9.24313041e-52
15                0.25                          0.25                2.92543767e-14
16                   1                             1                 3.5971226e-14
17                2.25                          2.25               1.953992523e-14
18                   4                             4               3.463895837e-14
19                6.25                          6.25               4.707345624e-14
20                   9                             9                             0
21    -1.164171031e-51                             0               1.164171031e-51
22                0.25                          0.25               4.207745263e-14
23                   1                             1               6.172840017e-14
24                2.25                          2.25               9.992007222e-14
25                   4                             4               6.217248938e-14
26                6.25                          6.25               6.838973832e-14
27                   9                             9                             0
28     -1.06413163e-52                             0                1.06413163e-52
29                0.25                          0.25               5.134781489e-14
30                   1                             1               3.130828929e-14
31                2.25                          2.25               4.618527782e-14
32                   4                             4               4.707345624e-14
33                6.25                          6.25               2.930988785e-14
34                   9                             9                             0
35     5.728976974e-52                             0               5.728976974e-52
36                0.25                          0.25               2.781108677e-14
37                   1                             1               3.530509218e-14
38                2.25                          2.25               2.486899575e-14
39                   4                             4               3.019806627e-14
40                6.25                          6.25               3.996802889e-14
41                   9                             9                             0
42    -1.061185336e-52                             0               1.061185336e-52
43                0.25                          0.25               1.898481372e-14
44                   1                             1               5.195843755e-14
45                2.25                          2.25               1.061373212e-13
46                   4                             4               1.953992523e-14
47                6.25                          6.25                4.52970994e-14
48                   9                             9                             0
time:1.625  Численное значение               Точное значение         Погрешность
0    -1.120062149e-51                             0               1.120062149e-51
1                0.25                          0.25               9.814371538e-14
2                   1                             1               1.030286967e-13
3                2.25                          2.25               1.230127111e-13
4                   4                             4               1.154631946e-13
5                6.25                          6.25               8.881784197e-14
6                   9                             9                             0
7     -3.94164837e-52                             0                3.94164837e-52
8                0.25                          0.25               7.127631818e-14
9                   1                             1               5.639932965e-14
10                2.25                          2.25                6.30606678e-14
11                   4                             4               8.704148513e-14
12                6.25                          6.25                5.41788836e-14
13                   9                             9                             0
14      9.24313041e-52                             0                9.24313041e-52
15                0.25                          0.25               4.990452496e-14
16                   1                             1               5.173639295e-14
17                2.25                          2.25                 3.5971226e-14
18                   4                             4                6.30606678e-14
19                6.25                          6.25                 7.1942452e-14
20                   9                             9                             0
21    -1.164171031e-51                             0               1.164171031e-51
22                0.25                          0.25               6.183942247e-14
23                   1                             1               9.081624341e-14
24                2.25                          2.25                1.33226763e-13
25                   4                             4               8.615330671e-14
26                6.25                          6.25               8.526512829e-14
27                   9                             9                             0
28     -1.06413163e-52                             0                1.06413163e-52
29                0.25                          0.25               6.900036098e-14
30                   1                             1               5.928590951e-14
31                2.25                          2.25               6.927791674e-14
32                   4                             4               7.727152251e-14
33                6.25                          6.25               5.773159728e-14
34                   9                             9                             0
35     5.728976974e-52                             0               5.728976974e-52
36                0.25                          0.25               4.557465516e-14
37                   1                             1                 5.3956839e-14
38                2.25                          2.25               4.085620731e-14
39                   4                             4                4.97379915e-14
40                6.25                          6.25               6.128431096e-14
41                   9                             9                             0
42    -1.061185336e-52                             0               1.061185336e-52
43                0.25                          0.25                 2.9365399e-14
44                   1                             1                7.66053887e-14
45                2.25                          2.25               1.327826737e-13
46                   4                             4               4.440892099e-14
47                6.25                          6.25               6.483702464e-14
48                   9                             9                             0
time:1.75  Численное значение               Точное значение         Погрешность
0    -1.120062149e-51                             0               1.120062149e-51
1                0.25                          0.25               1.268429806e-13
2                   1                             1               1.409983241e-13
3                2.25                          2.25               1.683098105e-13
4                   4                             4               1.492139745e-13
5                6.25                          6.25               1.030286967e-13
6                   9                             9                             0
7     -3.94164837e-52                             0                3.94164837e-52
8                0.25                          0.25               9.192646644e-14
9                   1                             1               8.926193118e-14
10                2.25                          2.25               8.704148513e-14
11                   4                             4               1.207922651e-13
12                6.25                          6.25               8.437694987e-14
13                   9                             9                             0
14      9.24313041e-52                             0                9.24313041e-52
15                0.25                          0.25               7.271960811e-14
